Index,Name,Call,Type,Effect
1,Apathy,Apathy,Mental,"""The target loses the will to do more than what is needed to survive. They will defend themselves if attacked but can't be brought to care about anything."""
2,Augment,Augment/X,Self,"""Add X to damage calls. Call Augment when roleplaying lifting an incapacitated, bound, or dead character/ They stand and walk with you while you keep a hand on their arm or shoulder. This allows you to carrry and move them alone without having to pick them up IRL. Different sources of Augment stack, up to a maximum of 10"""
3,Avert Death,Resist,Self,"""This power can only be used when hit with any damage attack that would reduce the user to 0 HP. Dodge all damage from that attack. For the next 10 seconds the user is Immune to damage, cannot attack and must flee from their attackers."""
4,Awe,Awe,Mental,"""Target likes and is fascinated by the user. The target tries to stay around and speak with the user."""
5,Banish Demon,Banish Demon (Demon's True Name),Touch,"""The Demon immediately puts on an OOG headband and returns to ST camp where it removes that Vessel from its Character Sheet. The Demon can't be played the rest of this game but it may be played in future games."""
6,Bestow Patron,Bestow Patron NAME,Touch,"""This power allows a Spirit to claim a character and allow them to take them as their Patron. The target may change the Patron entry on the Character using this power."""
7,Bind the Tongue,Bind Tongue XXXX,Touch/Condition,"""User states something that has happened in the past as XXXX part of the call. The target gains the Condition Bind Tongue. The Target cannot speak, write, or communicate to anyone about that thing so long as the have this Condition."""
8,Blind,Blind,Status,"""Target must close their eyes if safe to do so. If not safe to so target must treat everyone and everything as if it is invisible. This status immediately ends when the target takes damage."""
9,Blood Essense,Bottle Soul,Special/Craft,"""Commit Amaranth on the target then roleplay spitting blood into a bottle. Seal the bottle, make call and fill out tag with the consumed character's name and generation. Any Vampire that drinks the vial is counted as successfully using Amaranth on the tagged vampire and may lower thier generation if it is lower than theirs."""
10,Breakdown Item,Drain Item,Touch,"""Must be used on Charm or Relic. Remove the tags from the item, tear them up and return the prop to the owner when able. If used on a temporary item, such as a Charm,or a Foci gain 1 Energy. If used on a Relic gain Energy equal to 2x the item's Dot Rating."""
11,Bury the Wolf,None,Self,"""Remove or hides the red flag they are required to wear so no longer effected by Disturbing Presence. This power lasts for 1 hour during which the user cannot shift to Crinos."""
12,Chropteran Marauder,None,Transformation,"""Put on a bat mask. Gain the following effects:
1. Augment +3
2. Damage Reduction +2
3. Gain power: Fear"""
13,Claws,None,Self,"""User can use gray wrapped round boffers with a striking surface between 12"" and 24"". Attacks with these weapons cause Aggravated damage."""
14,Cleanse Corruption,Cleanse Corruption,Touch,"""Remove Corrupted Condition from the Target"""
15,Command,Command XXXX,Mental,"""State a single word action as XXXX in the call. The target must complete the stated action before doing anything else. Actions that can be done once, such as ""fall"" are done and then the power expires. Commands that are ongoing, such as ""flee"" last for 1 minute. The power can be used in the middle of a sentence, however only the word after that is part of the call must be followed."""
16,Conditioning,Conditioning,Condition,"""Add a trigger that delays activation of a mental power until that trigger is met. Conditioning itself cannot be resisted, however the Mental can be resisted normally after it triggers.

Example: Instead of issues the command, “Find and kill Edgar the Gray,” the Vampire can use this devotion to: “When you next see Edgar the Gray, Kill him.”"""
17,Confusion,Confusion,Mental,"""Target becomes befuddled and confused. They do not remember who, or where, they are or what they were doing. This does not otherwise prevent them from acting."""
18,Cornered Rat,None,Self,"""Enter Rage Frenzy without needing to shift into Crinos."""
19,Corpse Mask,None,Self,"""The user appears dead and answers all Sense Health questions with 0 Health Points or with full Agg Damage. They answer Dead to any powers that identify their state, however they are not dead so powers that only work on characters in the Dead state do not work on the user, such as Deathspeak."""
20,Create Athanos,Create Athanatos,Touch,"""This power must be used on a Dead character. The character is reanimated as a zombie and immediately regains all Health Points. It is still Dead despite having a health pool and retains all of skills, powers and abilities. It is given a purpose by the user (Unresistable False Will that never expires) upon reanimation and must pursue that purpose until it is destroyed, completes it, or Dawn, whichever is first at which point the player goes OOG. Special: This power cannot be used on a Vampire."""
21,Create Zombie,Animate X,Touch,"""This power must be used on a Dead character. The character is reanimated as a zombie and immediately regains all Health Points. It cannot speak, is still Dead despite having a health pool, can only attack with fist boffers and cannot use any skills, powers or abilities it had when alive and is immune to all mental powers except as noted below. The Player of a Zombie may stop playing the Zombie after ten minutes if they so choose. The user can use the Command power on the Zombie, even if they do not possess it, to give it instructions without spending energy, this is the only mental it is not immune to and it cannot be resisted."""
22,Cross Over,Umbra Cross,Special,"""User puts on an OOG headband and moves to the Umbra IG space then removes the OOG headband. If in the Umbra do the opposite but enter game space in the woods away from buildings."""
23,Damage Reduction,None,Self,"""Subract X from all damage that hits the character, except attacks with the Agg call. Attacks cannot be reduced to 0 damage. Damage Reduction from different sources stack, to a maximum of 10. Example: A character with Fortitude 3 and Ridged armor is hit in the armor they reduce the attack by 5, to a mimum of 1."""
24,Damage Touch,Damage Call,Touch,"""Touch the target and make damage call. Target takes that damage. Damage dealt in this way is not reduced by armor"""
25,Deathspeak,Deathspeak,Touch,"""Special: This power is only usable on a character who is in the Dead state. For as long as the user is touching the target they will answer any questions asked by the user truthfully as if they were still alive. It will speak the truth but only directly answer the questions."""
26,Destroy Item,Destroy Item,Special,"""Handle an item for at least 10 second then roleplay breaking it and use call. Remove any game tags from the item, tear them up and return the prop to the owner. The item can no longer be used."""
27,Destroy the Husk,Decay,Touch,"""The user touches a Character in the Dead state and give the call. The player of the corpse immediately goes OOG as if they have been left alone and the corpse is destroyed."""
28,Disarm,Disarm,Attack,"""Call when an attack with a Melee weapon hits another Melee weapon. The target must drop that weapon unless the attack is Dodged."""
29,Discorperate,Discorperate,Self,"""Throw your hands up in the air and give the call then put on an OOG headband. As soon as call is given any actions taken against the user have no effect. The character cannot be played again this game but can be in following ones."""
30,Disguise Aura,None,Self,"""Can answer however the player wishes to Sense Faction, Sense Aura, Sense Taint, Sense Corruption, Sense Truth or Sense Lies. The Character still doesn't know that a sensory power was used on them."""
31,Distract,Distract,Touch,"""Cannot be used in Combat. The target is momentarily distracted by bright lights and sound so that they don't notice the character using this power. The target cannot see the user of this power for 1 minute. If the user makes an attack or uses a power with a call this effect ends."""
32,Drain Energy,Drain Energy,Touch,"""The target loses one energy (Gnosis point/Blood point/Quintessence/Mist Point) per use and the target regains one energy of their type."""
33,Drain Health,Drain Health,Touch,"""Target suffers 1 damage and the User heals 1 damage"""
