Index,TreeName,Faction
1,Animalism,Vampire
2,Auspex,Vampire
3,Celerity,Vampire
4,Chimerstry,Vampire
5,Daimoinion,Vampire
6,Dementation,Vampire
7,Dominate,Vampire
8,Fortitude,Vampire
9,"Mortis - Grave's Decay",Vampire
10,"Mortis - Corpse in the Monster",Vampire
11,"Mortis - Cadaverous Animation",Vampire
12,Obfuscate,Vampire
13,Obtenebration,Vampire
14,Potence,Vampire
15,Presence,Vampire
16,Protean,Vampire
17,Quietus,Vampire
18,Serpentis,Vampire
19,"Valleren Healer",Vampire
20,"Valleren Warrior",Vampire
21,Vicissitude,Vampire
22,Awaremess,Mage
23,Al-Ikhlas,Mage
24,Deity,Mage
25,Modus,Mage
26,Spontaneity,Mage
27,Sensitivity,Mage
28,Blot,Mage
29,Sin,Mage
30,Al-Anbiya,Mage
31,Al-Fatihah,Mage
32,Al-Hajj,Mage
33,Al-Layl,Mage
34,Gavri-El,Mage
35,Mikha-El,Mage
36,Repha-El,Mage
37,Uri-El,Mage
38,Anima,Mage
39,Corona,Mage
40,Primus,Mage
41,Vires,Mage
42,Autumn,Mage
43,Spring,Mage
44,Summer,Mage
45,Winter,Mage
46,Chieftain,Mage
47,Trickster,Mage
48,Warrior,Mage
49,"Wise One",Mage
50,Fara,Mage
51,Forlog,Mage
52,Galdar,Mage
53,Hjaldar,Mage
54,Abomination,Mage
55,Subversion,Mage
56,Malediction,Mage
57,Diaboloism,Mage
58,Kenning,Fae
59,"Gramarye - Oaths",Fae
60,"Gramarye - Treasures",Fae
61,"Gramarye - Powders",Fae
62,Enigmas,Fae
63,Day,Fae
64,Night,Fae
65,Dawn,Fae
66,Dusk,Fae
67,Homid,Shifter
68,Metis,Shifter
69,Lupus,Shifter
70,Ragabash,Shifter
71,Theurge,Shifter
72,Philodox,Shifter
73,Galliard,Shifter
74,Ahroun,Shifter
75,"Black Furies",Shifter
76,"Bone Gnawers",Shifter
77,"Children of Gaia",Shifter
78,Fenrir,Shifter
79,Fianna,Shifter
80,"Red Talons",Shifter
80,"Shadow Lords",Shifter
80,"Silent Striders",Shifter
80,"Silver Fangs",Shifter
80,"Warders of Man",Shifter
80,"Black Spiral Dancers",Shifter
80,Corax,Shifter
