Subfaction,TreeName
Ahl-i-Batin,Al-Ikhlas
"Messianic Voice",Deity
"Order of Hermes",Modus
"Old Faith",Spontaneity
"Spirit Talker",Sensitivity
Valdaerman,Blot
Veneficti,Sin
Ahl-i-Batin,Al-Anbiya
Ahl-i-Batin,Al-Fatihah
Ahl-i-Batin,Al-Hajj
Ahl-i-Batin,Al-Layl
"Messianic Voice",Gavri-El
"Messianic Voice",Mikha-El
"Messianic Voice",Repha-El
"Messianic Voice",Uri-El
"Order of Hermes",Anima
"Order of Hermes",Corona
"Order of Hermes",Primus
"Order of Hermes",Vires
"Old Faith",Autumn
"Old Faith",Spring
"Old Faith",Summer
"Old Faith",Winter
"Spirit Talker",Chieftain
"Spirit Talker",Trickster
"Spirit Talker",Warrior
"Spirit Talker",Wise One
Valdaerman,Fara
Valdaerman,Forlog
Valdaerman,Galdar
Valdaerman,Hjaldar
Veneficti,Abomination
Veneficti,Subversion
Veneficti,Malediction
Veneficti,Diaboloism
